Rc Rg Za current
7.0 1.98 7.0 1671.3552
7.0 1.98 7.5 1260.1831
7.0 1.98 8.0 985.1819
7.0 1.98 8.5 793.0832
7.0 1.98 9.0 651.4083
7.0 1.98 9.5 548.7182
7.0 1.98 10.0 471.0302
7.0 1.98 10.5 409.8478
7.0 1.98 11.0 361.3042
7.0 2.08 7.0 1736.221
7.0 2.08 7.5 1313.4223
7.0 2.08 8.0 1028.4863
7.0 2.08 8.5 829.5714
7.0 2.08 9.0 683.2225
7.0 2.08 9.5 575.3782
7.0 2.08 10.0 494.6491
7.0 2.08 10.5 430.6724
7.0 2.08 11.0 379.5303
7.0 2.18 7.0 1802.2324
7.0 2.18 7.5 1364.9447
7.0 2.18 8.0 1072.4692
7.0 2.18 8.5 866.654
7.0 2.18 9.0 713.7076
7.0 2.18 9.5 601.0779
7.0 2.18 10.0 516.3202
7.0 2.18 10.5 449.4737
7.0 2.18 11.0 397.6931
7.0 2.28 7.0 1868.2441
7.0 2.28 7.5 1419.6815
7.0 2.28 8.0 1117.0175
7.0 2.28 8.5 903.4254
7.0 2.28 9.0 744.7605
7.0 2.28 9.5 628.4251
7.0 2.28 10.0 539.7042
7.0 2.28 10.5 469.9712
7.0 2.28 11.0 414.7362
7.0 2.38 7.0 1936.1455
7.0 2.38 7.5 1473.7163
7.0 2.38 8.0 1161.0624
7.0 2.38 8.5 940.7555
7.0 2.38 9.0 780.759
7.0 2.38 9.5 656.9453
7.0 2.38 10.0 564.4815
7.0 2.38 10.5 491.8912
7.0 2.38 11.0 433.4467
7.0 2.48 7.0 2001.7596
7.0 2.48 7.5 1529.0399
7.0 2.48 8.0 1207.2048
7.0 2.48 8.5 979.7741
7.0 2.48 9.0 808.8788
7.0 2.48 9.5 683.862
7.0 2.48 10.0 588.4661
7.0 2.48 10.5 512.7685
7.0 2.48 11.0 452.1158
7.0 2.58 7.0 2073.4278
7.0 2.58 7.5 1585.5869
7.0 2.58 8.0 1253.4809
7.0 2.58 8.5 1018.3189
7.0 2.58 9.0 841.8825
7.0 2.58 9.5 712.6428
7.0 2.58 10.0 612.8227
7.0 2.58 10.5 533.9141
7.0 2.58 11.0 470.8146
7.0 2.68 7.0 2144.7768
7.0 2.68 7.5 1642.553
7.0 2.68 8.0 1300.4268
7.0 2.68 8.5 1058.3346
7.0 2.68 9.0 879.7494
7.0 2.68 9.5 741.4793
7.0 2.68 10.0 638.0073
7.0 2.68 10.5 556.4757
7.0 2.68 11.0 490.555
7.0 2.78 7.0 2215.2876
7.0 2.78 7.5 1699.6508
7.0 2.78 8.0 1347.5764
7.0 2.78 8.5 1097.6691
7.0 2.78 9.0 909.6296
7.0 2.78 9.5 770.9792
7.0 2.78 10.0 663.3353
7.0 2.78 10.5 578.3319
7.0 2.78 11.0 510.0888
7.0 2.88 7.0 2286.0835
7.0 2.88 7.5 1757.4662
7.0 2.88 8.0 1396.0409
7.0 2.88 8.5 1136.1147
7.0 2.88 9.0 947.1843
7.0 2.88 9.5 798.4983
7.0 2.88 10.0 687.7363
7.0 2.88 10.5 600.0243
7.0 2.88 11.0 529.3673
7.0 2.98 7.0 2356.946
7.0 2.98 7.5 1815.5643
7.0 2.98 8.0 1443.8367
7.0 2.98 8.5 1177.9749
7.0 2.98 9.0 977.3563
7.0 2.98 9.5 828.567
7.0 2.98 10.0 713.9491
7.0 2.98 10.5 622.412
7.0 2.98 11.0 549.082
7.0 3.08 7.0 2431.4306
7.0 3.08 7.5 1873.7768
7.0 3.08 8.0 1492.153
7.0 3.08 8.5 1218.8037
7.0 3.08 9.0 1011.9565
7.0 3.08 9.5 858.712
7.0 3.08 10.0 739.8878
7.0 3.08 10.5 645.6173
7.0 3.08 11.0 569.5811
7.0 3.18 7.0 2504.2998
7.0 3.18 7.5 1934.0665
7.0 3.18 8.0 1541.9996
7.0 3.18 8.5 1260.2382
7.0 3.18 9.0 1047.0391
7.0 3.18 9.5 890.3531
7.0 3.18 10.0 767.4172
7.0 3.18 10.5 669.3617
7.0 3.18 11.0 590.659
7.0 3.28 7.0 2580.805
7.0 3.28 7.5 1993.6774
7.0 3.28 8.0 1591.9029
7.0 3.28 8.5 1294.3361
7.0 3.28 9.0 1083.2035
7.0 3.28 9.5 920.0811
7.0 3.28 10.0 793.4535
7.0 3.28 10.5 692.7425
7.0 3.28 11.0 611.2999
7.0 3.38 7.0 2654.5103
7.0 3.38 7.5 2051.8104
7.0 3.38 8.0 1640.2293
7.0 3.38 8.5 1338.0409
7.0 3.38 9.0 1121.4252
7.0 3.38 9.5 951.8023
7.0 3.38 10.0 820.9892
7.0 3.38 10.5 716.8867
7.0 3.38 11.0 632.3006
7.0 3.48 7.0 2732.6452
7.0 3.48 7.5 2116.5882
7.0 3.48 8.0 1692.6737
7.0 3.48 8.5 1388.1711
7.0 3.48 9.0 1154.2676
7.0 3.48 9.5 984.2061
7.0 3.48 10.0 847.1914
7.0 3.48 10.5 740.3874
7.0 3.48 11.0 654.4559
7.0 3.58 7.0 2806.8113
7.0 3.58 7.5 2177.9452
7.0 3.58 8.0 1744.4215
7.0 3.58 8.5 1430.9237
7.0 3.58 9.0 1189.6055
7.0 3.58 9.5 1014.4333
7.0 3.58 10.0 873.5482
7.0 3.58 10.5 763.7421
7.0 3.58 11.0 674.175
7.0 3.68 7.0 2884.2392
7.0 3.68 7.5 2240.6742
7.0 3.68 8.0 1796.2409
7.0 3.68 8.5 1463.2837
7.0 3.68 9.0 1225.6013
7.0 3.68 9.5 1044.1955
7.0 3.68 10.0 901.9268
7.0 3.68 10.5 787.8849
7.0 3.68 11.0 696.1077
7.0 3.78 7.0 2964.41
7.0 3.78 7.5 2305.1876
7.0 3.78 8.0 1848.7143
7.0 3.78 8.5 1518.9874
7.0 3.78 9.0 1265.2918
7.0 3.78 9.5 1078.6171
7.0 3.78 10.0 931.777
7.0 3.78 10.5 813.5551
7.0 3.78 11.0 718.5548
7.0 3.88 7.0 3044.0071
