gunshot100% waist100%
6.32 0.6144
6.64 0.6496
6.96 0.7042
17.56 0.7443
16.76 0.7001
17.88 0.7049
9.32 0.7266
18.92 0.7109
17.84 0.7643
6.4 0.5952
6.72 0.6318
7.04 0.6861
7.44 0.7293
17.12 0.6605
18.36 0.6498
9.4 0.721
9.56 0.7261
9.76 0.7475
6.48 0.5708
6.8 0.6152
7.12 0.6712
7.48 0.7124
7.8 0.6747
9.16 0.6708
18.84 0.6497
18.64 0.7023
18.92 0.6953
6.56 0.5503
6.88 0.5955
15.88 0.7793
7.52 0.7034
16.84 0.6646
17.96 0.657
9.48 0.6996
9.56 0.6928
9.88 0.7339
6.56 0.5177
6.88 0.5821
7.24 0.6347
7.6 0.6819
17.72 0.7091
8.36 0.6913
18.4 0.6853
9.72 0.6996
10.16 0.7396
6.64 0.4992
7.0 0.5525
7.32 0.6073
7.6 0.6762
16.44 0.6639
17.56 0.6677
18.8 0.6803
10.04 0.7332
10.12 0.709
6.68 0.4736
7.04 0.5459
7.32 0.5985
7.68 0.662
8.08 0.6094
8.36 0.6681
9.88 0.6854
10.04 0.6974
11.32 0.7037
6.68 0.4491
7.04 0.5187
7.36 0.5813
7.72 0.6467
8.08 0.704
9.84 0.6675
10.0 0.6768
10.12 0.6734
10.16 0.6823
6.72 0.4192
7.08 0.4859
7.36 0.5678
7.72 0.617
8.36 0.6389
8.48 0.6265
10.08 0.6868
10.2 0.6831
10.28 0.6807
6.92 0.4416
7.24 0.5149
7.4 0.5377
7.76 0.605
8.16 0.6778
9.84 0.6378
10.08 0.632
10.24 0.647
10.36 0.654
6.88 0.4089
7.24 0.5031
7.56 0.5676
7.8 0.5831
8.24 0.5489
8.56 0.5971
10.2 0.623
10.28 0.6404
10.52 0.6567
6.88 0.3671
7.24 0.464
7.6 0.5406
7.88 0.6068
8.36 0.5634
10.08 0.5957
10.28 0.6433
10.44 0.6617
10.48 0.6221
7.08 0.3699
7.24 0.4261
7.6 0.5144
7.96 0.591
9.96 0.5553
8.56 0.5591
10.28 0.5742
10.36 0.5742
17.88 0.7145
7.0 0.332
7.4 0.4324
7.64 0.4772
8.08 0.4076
8.48 0.4995
8.84 0.5763
10.36 0.5854
10.48 0.5921
10.72 0.6177
6.92 0.2561
7.4 0.4019
7.6 0.4444
8.2 0.4273
10.2 0.5267
10.36 0.5969
10.4 0.5631
10.52 0.5732
10.72 0.6223
7.08 0.2748
7.28 0.3334
7.76 0.4594
7.96 0.5101
8.76 0.5101
8.88 0.5182
10.6 0.578
10.72 0.5887
10.88 0.5946
7.16 0.2861
7.44 0.3696
7.68 0.4249
8.12 0.5235
8.6 0.4519
10.52 0.5103
10.64 0.5195
10.76 0.5305
10.96 0.5647
6.96 0.1807
7.28 0.2756
7.84 0.4379
8.28 0.3809
10.36 0.4189
10.48 0.4434
10.64 0.4736
10.6 0.4561
11.04 0.5324
7.08 0.1742
7.48 0.302
7.76 0.3745
8.16 0.5027
8.88 0.4632
8.88 0.4431
10.84 0.4959
10.96 0.5148
11.08 0.5242
7.28 0.1961
7.56 0.312
7.84 0.3958
8.12 0.4577
10.4 0.3744
10.52 0.3979
10.68 0.4279
10.8 0.446
10.96 0.48
7.36 0.1797
7.28 0.1974
7.64 0.3077
8.24 0.2521
8.84 0.3845
8.84 0.3729
11.0 0.4708
11.16 0.5011
11.28 0.5168
6.32 0.616
6.68 0.653
7.0 0.6967
17.44 0.6986
7.72 0.7006
17.84 0.7098
17.76 0.7237
18.96 0.7149
18.84 0.7286
6.4 0.5951
6.72 0.6333
7.08 0.6859
7.44 0.7265
17.12 0.6511
18.2 0.6512
9.4 0.7255
9.52 0.7244
18.36 0.7551
6.48 0.5635
6.8 0.6108
7.12 0.6676
7.48 0.7106
7.84 0.6673
9.24 0.689
18.84 0.6559
18.64 0.7041
9.88 0.7309
6.52 0.5439
6.84 0.5981
7.2 0.6519
7.56 0.703
16.88 0.6489
17.96 0.6634
9.6 0.7218
9.72 0.7266
9.88 0.7321
6.56 0.5092
6.88 0.5798
7.24 0.6352
