   归一化相速       耦合阻抗       衰减
0.091836 117.163000  9.32618
0.088455  68.516800 12.38950
0.086222  37.547500 15.34490
0.084031  10.734800 20.77490
0.083298   3.094160 25.72200
0.083096   0.906575 30.27160
0.091009 114.380000  9.73603
0.087717  66.490100 12.91020
0.085559  36.287700 15.97430
0.083466  10.321200 21.59640
0.082785   2.962650 26.71550
0.082611   0.864283 31.42490
0.090331 111.718000  9.75843
0.087114  64.662500 12.93890
0.085020  35.180300 16.00040
0.083013   9.962580 21.62280
0.082380   2.849070 26.74580
0.082231   0.827943 31.45320
0.089999 110.604000  9.69513
0.086852  63.941200 12.81820
0.084822  34.799500 15.81100
0.082909   9.887290 21.31120
0.082337   2.840490 26.32820
0.082229   0.829406 30.95300
0.089207 107.864000  9.88943
0.086158  61.997000 13.05900
0.084204  33.582200 16.09400
0.082382   9.462960 21.67360
0.081855   2.694080 26.76330
0.081770   0.777342 31.45270
0.089509 109.956000 10.15750
0.086324  62.383600 13.48790
0.084260  33.274200 16.69120
0.082276   9.071590 22.58490
0.081634   2.499910 27.95900
0.081464   0.700026 32.89020
0.088868 107.734000 10.22610
0.085768  60.900100 13.57710
0.083773  32.406900 16.79390
0.081881   8.808780 22.71470
0.081290   2.420730 28.10450
0.081150   0.675446 33.07550
0.088435 106.020000 10.11030
0.085419  59.819700 13.37560
0.083494  31.823600 16.51040
0.081695   8.667690 22.27500
0.081159   2.390890 27.53570
0.081054   0.670810 32.36690
0.087975 104.619000 10.09050
0.085038  58.988800 13.33590
0.083177  31.396500 16.44160
0.081463   8.568780 22.15930
0.080977   2.366970 27.38380
0.080903   0.663710 32.19160
0.087344 102.007000 10.09690
0.084465  57.112100 13.32310
0.082652  30.220500 16.41640
0.081001   8.166390 22.10210
0.080546   2.232150 27.29750
0.080486   0.617212 32.06550
0.087910 104.901000  9.95071
0.084920  58.215700 13.16410
0.083018  30.472200 16.24600
0.081243   8.047700 21.92260
0.080706   2.154390 27.11080
0.080590   0.586744 31.87180
0.087576 103.716000  9.97864
0.084616  57.415900 13.20320
0.082738  29.994300 16.29520
0.080983   7.893220 21.99620
0.080449   2.104650 27.20860
0.080328   0.570648 31.98980
0.086448  99.812700 10.15410
0.083611  54.810500 13.41310
0.081831  28.460400 16.52730
0.080205   7.419910 22.27180
0.079741   1.960840 27.52230
0.079661   0.526073 32.33910
0.086033  98.233800 10.51430
0.083278  53.873800 13.86310
0.081564  27.976200 17.07910
0.080025   7.310870 22.98980
0.079613   1.939170 28.39940
0.079566   0.522845 33.37840
0.085609  96.405200 10.45840
0.082928  52.717200 13.74580
0.081273  27.329500 16.88800
0.079814   7.122150 22.66580
0.079449   1.879800 27.95440
0.079431   0.501450 32.84620
0.086068  98.706600 10.30990
0.083268  53.360600 13.59680
0.081519  27.293100 16.74200
0.079923   6.917980 22.54010
0.079464   1.780270 27.84660
0.079379   0.465738 32.70490
0.085295  96.076500 10.34000
0.082567  51.614100 13.63780
0.080874  26.266900 16.79300
0.079346   6.599670 22.61340
0.078918   1.682720 27.93900
0.078848   0.435340 32.56950
0.084692  93.922800 10.61180
0.082024  50.218000 13.97510
0.080382  25.460900 17.18260
0.078918   6.352240 23.10200
0.078525   1.604150 28.51810
0.078472   0.408604 33.42010
0.084447  92.905900 10.60050
0.081839  49.605300 13.94820
0.080250  25.146200 17.13570
0.078865   6.286860 23.01620
0.078525   1.594280 28.40300
0.078508   0.408618 33.35340
0.083845  90.857300 10.79560
0.081339  48.478700 14.17510
0.079822  24.594400 17.39590
0.078521   6.168320 23.33740
0.078222   1.571350 28.78450
0.078228   0.405745 33.78750
0.084262  92.685200 10.77690
0.081637  48.817100 14.23520
0.080026  24.403400 17.53500
0.078590   5.934240 23.62710
0.078198   1.465660 29.19950
0.078138   0.367230 34.28570
0.083735  90.821500 10.67320
0.081186  47.671400 14.06520
0.079634  23.767000 17.30210
0.078274   5.747820 23.27960
0.077924   1.407730 28.75660
0.077889   0.347445 33.76260
0.083213  89.109200 10.82100
0.080715  46.584100 14.24450
0.079208  23.162600 17.50820
0.077907   5.583030 23.53560
0.077590   1.363730 29.05790
0.077573   0.335567 34.07700
0.082667  86.314900 10.76650
0.080269  44.863300 14.14170
0.078834  22.215900 17.35750
0.077619   5.327890 23.30510
0.077345   1.300060 28.76450
0.077350   0.321810 33.76280
0.082188  85.318700 10.97100
0.079848  44.333800 14.40850
0.078458  21.973300 17.68660
0.077302   5.285000 23.74120
0.077064   1.292960 29.29390
0.077091   0.320451 34.37850
0.099211 122.778000  8.70458
0.095513  76.405900 11.50570
0.092912  44.168600 14.25830
0.090165  13.716500 19.33110
0.089132   4.236310 23.92760
0.088773   1.325860 28.14600
0.098511 120.550000  8.72064
0.094895  74.732100 11.52760
0.092369  43.084500 14.27040
0.089728  13.337400 19.32870
0.088753   4.110230 23.85420
0.088429   1.283520 28.13350
0.097843 118.785000  8.77764
0.094303  73.367000 11.56730
0.091848  42.187700 14.29390
0.089307  13.022200 19.31630
0.088391   4.005840 23.87710
0.088100   1.248960 28.08320
0.097132 115.107000  8.86313
0.093687  70.319600 11.66940
0.091315  39.983100 14.40290
0.088888  12.039900 19.44220
0.088034   3.587420 24.05300
0.087778   1.070980 28.22740
0.100842 123.182000  8.21946
0.097793  79.042300 10.74540
0.095661  47.475100 13.24310
0.093456  15.942900 17.94070
0.092667   5.281950 22.35050
0.092378   1.755750 26.57230
0.097218 117.747000  8.64639
0.093714  71.616200 11.40540
0.091294  40.559900 14.09830
0.088796  12.165500 19.07170
0.087891   3.640510 23.59010
0.087596   1.104420 27.72830
0.096433 114.980000  8.69885
0.093010  69.536900 11.46050
0.090662  39.212100 14.14710
0.088261  11.690900 19.10570
0.087408   3.481840 23.61560
0.087141   1.051450 27.75020
0.095674 112.370000  8.82517
0.092325  67.587600 11.61470
0.090043  37.952200 14.32410
0.087731  11.247200 19.32540
0.086927   3.332640 23.87430
0.086686   1.001030 28.05170
0.095035 110.591000  8.91300
0.091762  66.264300 11.72770
0.089546  37.105000 14.45670
0.087325  10.955600 19.49480
0.086571   3.236700 24.08040
0.086359   0.969197 28.30740
0.094550 109.198000  8.96532
0.091361  65.335600 11.76730
0.089218  36.574700 14.50470
0.087098  10.813300 19.53360
0.086407   3.200950 24.11260
0.086233   0.960321 28.32450
0.095116 111.970000  8.91350
0.091793  66.368100 11.75320
0.089537  36.713400 14.51580
0.087253  10.564900 19.61740
0.086449   3.040980 24.26510
0.086198   0.887298 28.48240
0.094456 109.887000  8.99060
0.091232  64.936900 11.81280
0.089059  35.878600 14.55610
0.086888  10.330500 19.62520
0.086151   2.978730 24.24670
0.085940   0.870701 28.48360
0.093769 107.565000  9.11019
0.090608  63.225900 11.96190
0.088491  34.776800 14.72140
0.086397   9.941270 19.81960
0.085700   2.848060 24.46630
0.085509   0.827085 28.72160
0.093179 105.698000  9.10248
0.090110  61.963400 11.93350
0.088071  34.039200 14.67640
0.086081   9.726000 19.73710
0.085444   2.786950 24.35250
0.085289   0.809344 28.58800
0.092484 103.121000  9.35984
0.089475  60.083500 12.27630
0.087490  32.850400 15.09410
0.085572   9.319180 20.29670
0.084974   2.650750 25.04330
0.084838   0.761748 29.39650
0.093334 106.926000  9.12362
0.090198  61.974400 12.00540
0.088107  33.618800 14.79730
0.086039   9.359010 19.95800
0.085344   2.612940 24.66750
0.085145   0.739536 28.98030
0.092405 104.008000  9.15955
0.089336  59.820700 12.05180
0.087302  32.242800 14.85020
0.085306   8.882090 20.02870
0.084641   2.455580 24.75900
0.084452   0.687951 29.07930
0.091775 101.907000  9.20925
0.088787  58.397300 12.09540
0.086824  31.395500 14.89340
0.084925   8.621800 20.06120
0.084319   2.378440 24.77560
0.084167   0.664964 29.11570
0.091262 100.478000  9.38702
0.088276  57.216600 12.31910
0.086325  30.591100 15.14200
0.084455   8.322310 20.35620
0.083867   2.272690 25.11280
0.083723   0.626264 29.48740
0.090428  97.432400  9.41633
0.087585  55.282700 12.32770
0.085742  29.507200 15.13850
0.084001   8.016570 20.33490
0.083478   2.186390 25.08220
0.083370   0.601305 29.43070
0.090950 100.239000  9.34196
0.087990  56.384400 12.27520
0.086051  29.765200 15.10480
0.084171   7.892700 20.35250
0.083553   2.103520 25.14130
0.083380   0.568103 29.50650
0.090270  97.916400  9.54228
0.087381  54.798100 12.52240
0.085502  28.820300 15.39370
0.083697   7.603700 20.71170
0.083120   2.018370 25.56960
0.082966   0.542916 30.00330
0.089863  96.629700  9.51717
0.087051  54.015600 12.48140
0.085235  28.403300 15.34160
0.083518   7.498300 20.64030
0.082992   1.990980 25.48280
0.082872   0.534964 29.90340
0.089378  94.901000  9.55332
0.086647  52.913400 12.51480
0.084896  27.789500 15.36720
0.083265   7.331200 20.64720
0.082789   1.945950 25.47860
0.082698   0.522330 29.87510
0.088806  93.214200  9.62369
0.086141  51.792600 12.59360
0.084446  27.138700 15.45450
0.082888   7.141610 20.74940
0.082452   1.893560 25.59600
0.082384   0.508468 30.02330
0.106577 125.757000  7.75907
0.102616  82.547600 10.17310
0.099667  50.046500 12.57570
0.096336  16.706800 17.02710
0.094957   5.457710 21.04660
0.094409   1.795470 24.71510
0.105966 124.066000  7.78166
0.102059  81.118900 10.19280
0.099168  49.030700 12.58470
0.095931  16.313300 17.01000
0.094614   5.320870 21.00760
0.094103   1.749100 24.43820
0.105198 121.945000  7.80748
0.101407  79.490600 10.21680
0.098619  47.958800 12.60680
0.095526  15.934500 17.03330
0.094292   5.193790 21.05800
0.093826   1.705440 24.69510
0.104749 121.673000  7.89120
0.100993  79.420900 10.31930
0.098244  48.044100 12.72130
0.095215  16.102400 17.16430
0.094021   5.312660 21.18090
0.093584   1.771390 24.86060
0.103541 117.064000  7.95922
0.099893  75.576000 10.39780
0.097244  45.252500 12.80420
0.094352  14.882700 17.25150
0.093230   4.813210 21.27540
0.092826   1.567600 24.95530
0.104213 120.889000  7.96965
0.100436  77.495700 10.46200
0.097674  45.950400 12.92770
0.094616  14.761400 17.49690
0.093385   4.656780 21.63460
0.092909   1.479340 25.40980
0.103494 115.525000  7.98689
0.099818  72.748500 10.46120
0.097149  42.315100 12.89740
0.094224  13.015600 17.42340
0.093065   3.887560 21.52650
0.092628   1.150270 25.27970
0.102731 116.723000  7.93925
0.099114  74.234800 10.38370
0.096500  43.765400 12.79630
0.093657  13.974300 17.26050
0.092549   4.398040 21.30390
0.092143   1.397590 24.99620
0.102208 114.729000  7.98696
0.098662  72.715700 10.43870
0.096115  42.783100 12.85070
0.093368  13.646300 17.31370
0.092318   4.297070 21.35990
0.091946   1.366610 25.05890
0.101357 112.487000  8.21291
0.097885  70.944200 10.73190
0.095408  41.571800 13.19270
0.092763  13.172900 17.75600
0.091770   4.118260 21.89790
0.091430   1.296440 25.68720
0.102046 116.051000  8.08748
0.098449  72.714000 10.59700
0.095864  42.216000 13.06630
0.093059  13.079900 17.64500
0.091961   3.992660 21.79540
0.091551   1.227340 25.58250
0.101304 113.904000  8.20055
0.097787  71.046100 10.72920
0.095274  41.114400 13.21980
0.092575  12.692900 17.83120
0.091537   3.866040 22.01360
0.091158   1.184340 27.59710
0.100540 111.679000  8.24888
0.097097  69.317800 10.78930
0.094653  39.959900 13.28760
0.092050  12.270000 17.91500
0.091066   3.720980 22.11500
0.090721   1.136890 25.19720
0.100025 110.227000  8.22345
0.096665  68.291500 10.72710
0.094294  39.343100 13.17650
0.091795  12.092800 17.71120
0.090873   3.676040 21.83020
0.090563   1.126340 25.59590
0.099398 107.456000  8.39660
0.096112  66.098200 10.94770
0.093809  37.804300 13.44140
0.091405  11.422300 18.05130
0.090538   3.384290 22.24130
0.090260   0.994866 25.99170
0.099914 111.068000  8.42496
0.096498  67.951100 11.02750
0.094085  38.587800 13.58150
0.091520  11.498500 18.31230
0.090545   3.382690 22.60960
0.090194   1.000750 26.52300
0.099226 109.495000  8.39473
0.095854  66.731600 10.98050
0.093486  37.779300 13.51570
0.090989  11.211200 18.20870
0.090053   3.288760 22.47410
0.089722   0.970906 26.35420
0.098476 106.926000  8.41830
0.095211  64.866600 10.99290
0.092933  36.614300 13.51480
0.090557  10.833600 18.18210
0.089687   3.172900 22.42740
0.089393   0.935196 26.29760
0.097881 105.036000  8.52643
0.094692  63.535600 11.12370
0.092482  35.817100 13.66140
0.090200  10.608600 18.35730
0.089384   3.119790 22.67690
0.089122   0.926919 26.52500
0.097377 103.007000  8.52593
0.094274  62.075600 11.10560
0.092138  34.894600 13.62440
0.089961  10.284100 18.28750
0.089208   3.004840 22.53350
0.088984   0.883213 26.41170
0.097867 105.722000  8.52486
0.094615  63.103900 11.14690
0.092355  35.056900 13.70210
0.090002  10.076400 18.44530
0.089132   2.876400 22.76060
0.088829   0.829621 26.68490
0.097216 103.814000  8.64019
0.094047  61.767000 11.28640
0.091858  34.231800 13.87100
0.089600   9.798410 18.66050
0.088784   2.780870 23.02040
0.088510   0.794063 26.98350
0.096597 102.261000  8.69132
0.093496  60.634000 11.34650
0.091368  33.517900 13.93090
0.089193   9.560280 18.72780
0.088421   2.704970 23.09630
0.088171   0.769693 27.08220
0.095915 100.729000  8.68096
0.092877  59.602200 11.32190
0.090806  32.941900 13.89660
0.088711   9.433450 18.66520
0.087987   2.691190 23.00980
0.087765   0.776209 26.96620
0.095296  98.057800  8.69588
0.092347  57.696900 11.31650
0.090351  31.737500 13.85860
0.088356   9.005580 18.57110
0.087687   2.539600 22.86720
0.087494   0.720396 26.78650
0.114044 127.654000  7.04014
0.109909  88.019600  9.16111
0.106670  55.928200 11.30410
0.102781  20.119700 15.30390
0.101048   6.977980 18.90450
0.100298   2.429130 22.26640
0.113261 125.775000  7.02742
0.109202  86.436200  9.13908
0.106040  54.782400 11.26820
0.102273  19.651300 15.23910
0.100613   6.803810 18.81330
0.099907   2.364210 22.06310
0.112399 123.738000  7.10718
0.108404  84.641600  9.24118
0.105308  53.426300 11.38510
0.101646  19.052000 15.38070
0.100048   6.566870 18.97770
0.099375   2.271880 22.25430
0.111830 122.226000  7.11905
0.107879  83.318500  9.24915
0.104834  52.446000 11.38620
0.101256  18.646400 15.36470
0.099712   6.419390 18.95020
0.099071   2.219350 22.21100
0.110897 119.724000  7.26920
0.107055  81.277600  9.43533
0.104114  51.012900 11.60020
0.100693  18.086300 15.63510
0.099244   6.218600 19.25650
0.098660   2.147240 22.59250
0.111598 123.606000  7.14540
0.107627  83.426500  9.29590
0.104568  51.920900 11.45310
0.100966  18.019200 15.47510
0.099399   6.054370 19.10060
0.098736   2.043440 22.36910
0.110807 121.452000  7.16955
0.106913  81.634700  9.32219
0.103930  50.641700 11.47770
0.100447  17.506100 15.48870
0.098950   5.866710 19.10610
0.098328   1.974980 22.38870
0.109992 119.279000  7.29201
0.106171  79.817700  9.46555
0.103262  49.336800 11.64050
0.099891  16.975900 15.68300
0.098461   5.670820 19.33020
0.097877   1.903180 22.64050
0.109285 117.394000  7.39023
0.105547  78.265400  9.59236
0.102720  48.246600 11.78820
0.099473  16.555100 15.87050
0.098118   5.523400 19.55800
0.097578   1.851670 22.91690
0.108397 115.318000  7.50682
0.104711  76.509500  9.74052
0.101938  46.958600 11.95840
0.098776  16.005700 16.08800
0.097469   5.311030 19.80570
0.096954   1.771140 23.20040
0.109915 119.985000  6.95952
0.106073  79.742600  9.09210
0.103148  48.867800 11.23650
0.099756  16.483700 15.23830
0.098309   5.392760 18.86090
0.097710   1.772600 22.14610
0.108430 117.124000  7.40720
0.104706  76.961400  9.62746
0.101902  46.712300 11.84120
0.098692  15.540800 15.96320
0.097347   5.028310 19.68920
0.096802   1.633360 22.96860
0.107546 114.606000  7.45056
0.103889  74.896300  9.68081
0.101152  45.251400 11.89540
0.098044  14.956400 16.01270
0.096758   4.815350 19.54350
0.096244   1.555840 23.11720
0.106908 112.939000  7.48300
0.103328  73.551800  9.71080
0.100664  44.332800 11.92580
0.097665  14.624800 16.03820
0.096444   4.707230 19.75620
0.095969   1.521790 23.14010
0.106259 111.126000  7.58640
0.102751  72.147400  9.84084
0.100156  43.395100 12.06990
0.097260  14.286700 16.21120
0.096100   4.593750 19.95960
0.095661   1.483490 23.36930
0.106887 114.761000  7.57426
0.103254  74.072300  9.85433
0.100548  44.172200 12.11920
0.097486  14.231300 16.33400
0.096218   4.469880 20.14750
0.095707   1.410500 23.60290
0.106233 112.614000  7.60976
0.102688  72.391600  9.87962
0.100064  43.052400 12.13420
0.097121  13.840000 16.31900
0.095924   4.347020 20.10680
0.095454   1.373390 23.54680
0.105451 110.027000  7.66905
0.101981  70.289500  9.94548
0.099429  41.578000 12.20060
0.096592  13.256200 16.38340
0.095456   4.135530 20.17070
0.095020   1.298000 23.62180
0.104779 108.650000  7.74659
0.101372  69.252400 10.04340
0.098879  40.917500 12.31070
0.096131  13.046200 16.52290
0.095045   4.074280 20.33440
0.094638   1.279950 23.80210
0.103874 106.477000  7.88854
0.100527  67.492500 10.22910
0.098092  39.684600 12.53180
0.095428  12.556200 16.80740
0.094386   3.894220 20.74780
0.094000   1.215340 24.20520
0.104745 110.012000  7.67376
0.101287  69.411900  9.96500
0.098754  40.530400 12.23580
0.095947  12.597600 16.45700
0.094816   3.832030 20.28290
0.094374   1.171850 23.75060
0.103950 107.960000  7.75485
0.100562  67.793600 10.06690
0.098097  39.438000 12.35200
0.095385  12.197200 16.60110
0.094307   3.696830 20.45050
0.093893   1.126910 23.94130
0.103145 105.847000  7.83844
0.099821  66.144300 10.16700
0.097415  38.320300 12.46210
0.094789  11.776300 16.72460
0.093758   3.548830 20.58650
0.093368   1.074700 24.08680
0.102535 104.369000  7.95775
0.099286  64.931600 10.31520
0.096949  37.504000 12.63700
0.094423  11.492100 16.94720
0.093451   3.459010 20.85450
0.093095   1.046530 24.35900
0.101849 102.086000  8.05857
0.098672  63.278800 10.43370
0.096400  36.449800 12.77270
0.093966  11.131400 17.11350
0.093046   3.342660 21.04870
0.092718   1.009010 24.62730
0.121693 128.323000  6.55663
0.117437  92.417000  8.46912
0.113945  61.366300 10.42710
0.109505  23.743200 14.11170
0.107391   8.717390 17.41080
0.106418   3.193740 20.39790
0.120967 126.670000  6.63538
0.116775  90.952300  8.56503
0.113354  60.247600 10.53430
0.109035  23.249900 14.23490
0.106998   8.527470 17.55410
0.106072   3.121750 20.55790
0.119820 124.242000  6.71843
0.115708  88.719700  8.66200
0.112371  58.470100 10.64240
0.108191  22.391800 14.35390
0.106240   8.166010 17.68330
0.105362   2.973600 20.70380
0.119081 122.552000  6.86948
0.115040  87.238900  8.86156
0.111780  57.349300 10.88650
0.107726  21.901300 14.68190
0.105856   7.975430 18.08590
0.105026   2.899530 21.17640
0.118440 120.775000  6.77764
0.114444  85.631700  8.73091
0.111237  56.098700 10.70840
0.107282  21.334000 14.40920
0.105480   7.755200 17.73030
0.104693   2.817520 20.74690
0.119208 125.220000  6.68945
0.115109  88.501500  8.64051
0.111799  57.668600 10.62710
0.107672  21.588700 14.35470
0.105751   7.702880 17.70100
0.104885   2.745140 20.73200
0.118224 122.258000  6.88193
0.114205  85.801400  8.87789
0.110981  55.533500 10.90050
0.106996  20.552500 14.68960
0.105164   7.256090 18.09350
0.104350   2.555690 21.17340
0.117416 120.790000  6.88827
0.113461  84.603900  8.88059
0.110302  54.703700 10.89920
0.106422  20.265600 14.67850
0.104654   7.177700 18.07410
0.103877   2.538740 21.15150
0.116733 119.792000  6.91983
0.112834  83.439500  8.92131
0.109738  53.689300 10.94140
0.105969  19.767100 14.71870
0.104277   6.979040 18.11290
0.103547   2.463260 21.19310
0.115908 116.304000  6.86078
0.112120  80.572300  8.82280
0.109133  51.563700 10.79600
0.105528  18.771800 14.48540
0.103933   6.540340 17.80870
0.103250   2.270160 20.37510
0.116474 120.938000  6.87702
0.112524  83.641600  8.89424
0.109388  53.330400 10.93540
0.105557  19.211600 14.75580
0.103814   6.623930 18.19160
0.103042   2.283160 21.29240
0.115851 119.036000  6.98639
0.111958  81.992700  9.02618
0.108881  52.106200 11.08460
0.105144  18.695300 14.93770
0.103459   6.432940 18.40220
0.102721   2.214110 21.53580
0.115108 118.364000  7.21598
0.111329  81.399500  9.30379
0.108365  51.705100 11.40980
0.104806  18.587700 15.35310
0.103236   6.418730 18.90460
0.102570   2.217320 22.11890
0.114086 114.866000  7.00287
0.110364  78.429000  9.02930
0.107460  49.485400 11.06530
0.103995  17.593900 14.86670
0.102477   6.018870 18.29540
0.101836   2.060290 21.39830
0.113380 113.346000  7.05070
0.109724  77.201800  9.07509
0.106886  48.627600 11.10470
0.103523  17.263900 14.89080
0.102066   5.903070 18.30190
0.101461   2.019700 21.39650
0.113829 116.314000  7.11481
0.110034  78.617500  9.21680
0.107072  49.000700 11.33300
0.103522  16.954100 15.29160
0.101943   5.638790 18.85600
0.101255   1.876590 22.07230
0.113504 115.595000  7.15082
0.109767  78.089500  9.23545
0.106861  48.679700 11.32730
0.103400  16.872000 15.23680
0.101878   5.621010 18.75830
0.101225   1.870680 21.96410
0.112511 113.082000  7.16732
0.108869  75.985800  9.23950
0.106057  47.175200 11.31580
0.102739  16.281700 15.18640
0.101303   5.419160 18.67440
0.100700   1.805850 21.83040
0.111648 110.814000  7.16851
0.108081  74.073800  9.23310
0.105345  45.784900 11.29820
0.102146  15.704500 15.14030
0.100782   5.203700 18.60400
0.100220   1.726690 21.74150
0.111201 110.094000  7.25024
0.107648  73.407800  9.33213
0.104935  45.269500 11.40560
0.101785  15.479700 15.26490
0.100456   5.120120 18.73900
0.099918   1.696720 21.89180
0.111666 112.611000  7.22494
0.108020  74.585600  9.33406
0.105219  45.586400 11.44300
0.101930  15.248500 15.37860
0.100503   4.921570 18.92550
0.099898   1.589640 22.12520
0.110768 110.569000  7.27376
0.107204  72.893100  9.39092
0.104482  44.381700 11.50730
0.101308  14.767700 15.45260
0.099946   4.747970 19.01170
0.099374   1.528130 22.22490
0.110198 108.729000  7.33147
0.106703  71.468900  9.44426
0.104048  43.422800 11.54830
0.100976  14.414200 15.46980
0.099677   4.625230 19.00560
0.099144   1.483570 22.20260
0.109482 106.937000  7.32782
0.106073  70.018200  9.43483
0.103498  42.428500 11.53210
0.100543  14.055800 15.44040
0.099313   4.512360 18.97200
0.098819   1.450700 22.17130
0.108918 105.556000  7.37289
0.105572  68.924400  9.47931
0.103058  41.690600 11.57020
0.100199  13.794900 15.46170
0.099028   4.429500 18.97730
0.098568   1.424570 22.16300
